id,user,created_at,text,sentiment,score
1004521564061224966,CorneLL_AntWoin,2018-06-07 00:32:58,"For the very first time...yes, the first time.  Lol — watching Black Panther",Positive,0.26
1004521509627392001,bethanyleeschim,2018-06-07 00:32:45,@StevenRayMorris The person sitting next to me on my flight home Monday watch Black Panther and I was thrilled.,Positive,0.41
1004521414810988545,realjwallace,2018-06-07 00:32:23,Me: I thought they were only going to kill white people in black panther  Mama: boy you think they're going to let… https://t.co/poQ66GbbLh,Positive,0.09
1004521093917478912,jameskessee,2018-06-07 00:31:06,That moment you’re doing a night ride on your motorcycle and the soundtrack to black panther comes on 💪🏽 😆 [Come At… https://t.co/5IIYSnxrBt,Positive,0.22
1004520913755430915,Albertihoo4,2018-06-07 00:30:23,🔁 Black Panther ❤ Miles Morales https://t.co/LgMXeqbNVF,Neutural,0.0
1004520837674864643,vvsCam,2018-06-07 00:30:05,"other than black panther, i haven’t watched a new super hero movie in years. y’all ain’t tired of this shit yet? ga… https://t.co/cY7UaTOsJW",Negative,-0.02
1004520821535232000,DARKELYSIAN,2018-06-07 00:30:01,does stan twitter know any other black person that isnt the black panther cast and zendaya,Positive,0.16
1004520800014225408,LaufeyyStark,2018-06-07 00:29:56,@SacpStarlord @purpleg____ @nakiamnger Uno how many mcu movies I can point out that are fucking overrated. But with… https://t.co/iCjqdOxeKJ,Negative,-0.13
1004520764689743872,anon_side_eye,2018-06-07 00:29:48,@McMinnPatrick YUP. It's the same argument too for ppl asking for a black spiderman. Nothing wrong w it persay but… https://t.co/zSjAGY9CPq,Negative,-0.13
1004520652823556096,Boss_Coffee,2018-06-07 00:29:21,"I know I'm super late to the party, but I'm FINALLY getting around to watching this.  Excited! #NowWatching Black P… https://t.co/DwniGnXgXd",Positive,0.29
1004520592853397504,momieadams,2018-06-07 00:29:07,"I liked a @YouTube video https://t.co/gAcrEjzohV WAKANDA ""Spirit Lifting"" Theme/ Vocal・Baaba Maal🇸🇳 /Black Panther",Positive,0.49
1004520522695110656,BatmansBookcase,2018-06-07 00:28:50,"So, @Al_Ewing has been a favorite writer for a while, loved his Ultimates, New/US Avengers, and even Contest of Cha… https://t.co/02Pp6mF2cT",Positive,0.8
1004520485873283072,SasakiTime,2018-06-07 00:28:41,Vans Black Panther shoes!!! https://t.co/O5kMzo7nsw,Neutural,0.0
1004520409205805057,IheartsSteelers,2018-06-07 00:28:23,Black Panther until I fall asleep,Neutural,0.0
1004520306055270401,Cryfan07,2018-06-07 00:27:58,I liked a @YouTube video https://t.co/gUSfnIbZrz Reactors Reactions To How BLACK PANTHER Should Have Ended,Positive,0.49
1004520021392089088,Muva_Of_3,2018-06-07 00:26:50,I still ain’t seen black panther yet 😕🤦🏽‍♀️,Positive,0.09
